src_ip,Label,distinct_sources,days_seen,total_incidents,unique_dst_ip,src_port_zero_count,src_port_nonzero_count,src_port_zero_avg_inter_arrival_time,src_port_zero_min_inter_arrival_time,src_port_zero_max_inter_arrival_time,src_port_zero_stddev_inter_arrival_time,src_port_nonzero_avg_inter_arrival_time,src_port_nonzero_min_inter_arrival_time,src_port_nonzero_max_inter_arrival_time,src_port_nonzero_stddev_inter_arrival_time
37.97.185.116,Spoofed,2,4,1044,4,1043,1,307.3800384,0.0,48616.0,1923.619909,,,,
47.238.193.103,Real,1,1,1,1,0,1,,,,,,,,
93.95.230.165,Spoofed,2,4,2131,7,2126,5,151.2324706,0.0,48110.0,1353.624392,39396.75,6271.0,84393.0,28450.47828
185.129.61.6,Spoofed,2,5,2065,6,2060,5,156.1403594,0.0,48492.0,1371.976545,61336.5,7522.0,186532.0,72837.66819
188.190.109.250,Spoofed,2,4,1005,7,1000,5,321.7987988,0.0,48190.0,1965.719341,32991.75,4022.0,90636.0,34083.27584
94.131.165.238,Spoofed,2,4,1059,5,1056,3,304.7241706,0.0,48636.0,1916.038948,65466.0,4908.0,126024.0,60558.0
45.33.57.83,Spoofed,2,4,1393,6,1389,4,231.5605187,0.0,47971.0,1660.503409,21347.66667,10963.0,29021.0,7617.363382
5.161.76.226,Spoofed,2,4,816,5,813,3,394.1810345,0.0,47969.0,2164.271686,36671.0,32136.0,41206.0,4535.0
23.137.253.109,Spoofed,2,5,2057,6,2052,5,156.6426134,0.0,48288.0,1374.053914,94943.75,18872.0,185683.0,63248.36454
194.182.179.34,Spoofed,2,5,1582,6,1575,7,203.727446,0.0,48158.0,1558.713995,43185.83333,433.0,173018.0,59111.75807
185.246.85.69,Spoofed,2,4,1064,6,1059,5,303.3903592,0.0,48778.0,1927.85851,18116.75,1064.0,45056.0,16390.26356
37.46.211.32,Spoofed,2,4,1011,6,1006,5,319.6,0.0,48005.0,1945.736284,39281.75,612.0,86114.0,30525.16212
202.61.241.225,Spoofed,2,5,1249,6,1243,6,258.8719807,0.0,49500.0,1789.123744,48296.6,979.0,200491.0,76612.29736
125.212.241.131,Spoofed,2,4,2132,5,2128,4,151.0625294,0.0,48656.0,1354.863963,31280.0,0.0,81000.0,35545.98149
217.23.8.2,Spoofed,2,5,1184,7,1178,6,272.855565,0.0,48595.0,1820.723775,68039.0,1484.0,188238.0,72434.52757
185.184.71.86,Spoofed,2,5,32,7,26,6,12214.0,0.0,125340.0,27679.70889,52017.2,943.0,175242.0,65313.24684
145.239.41.102,Spoofed,2,5,1962,7,1954,8,164.4592934,0.0,48004.0,1406.90015,49638.0,177.0,174609.0,71263.60015
87.106.199.4,Spoofed,2,4,842,6,837,5,384.1148325,0.0,48457.0,2163.72721,27243.0,611.0,79543.0,30847.27292
204.137.14.104,Spoofed,2,4,2082,5,2078,4,154.7794896,0.0,49622.0,1386.953692,46503.33333,7435.0,118440.0,50929.84069
150.136.171.160,Spoofed,2,4,773,6,770,3,417.4876463,0.0,48374.0,2240.828932,37925.5,13219.0,62632.0,24706.5
69.12.83.106,Spoofed,2,3,24,4,23,1,9945.863636,126.0,120168.0,26403.29485,,,,
